Continent,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
South America,Brazil,BRA,,,,,,,,,,,42.3801,42.3801,47.7507,56.2884,62.0749,66.1103,71.3535,69.461,74.3121,77.6723,73.3282,73.1213,73.2459,68.6883,67.6061,70.0857,77.5242,76.2123,76.3187,79.6341,82.1754,85.9714,86.6138,90.077,94.2098,104.1934,113.668,120.6104,126.8996,124.2512,125.4845,128.0415,130.0124,127.5148,136.4505,137.1925,140.2593,145.9657,151.3403,148.7176,167.9911,185.1526,202.541,209.7842,214.7806,200.7873,199.046,200.1754,191.866,193.1656,182.6073,200.1659,212.577,216.8353
Europe,Bulgaria,BGR,,,,,,,,,,,4.3683,4.3683,4.3399,4.2583,4.0046,3.9712,3.9719,3.9803,4.0249,3.964,4.1164,3.964,3.964,3.964,3.8328,3.6987,3.6895,3.7139,6.8529,7.2597,6.4412,3.4765,3.8084,4.3113,3.9355,4.1905,4.1435,4.2794,5.4217,5.6515,5.4312,5.6036,5.8296,6.4195,6.9498,7.7639,8.1901,7.925,8.3051,7.9775,7.7599,7.9352,8.212,7.2682,8.1347,8.9279,9.0449,9.1891,9.397,9.508,8.9357,9.6151,9.5364,9.4078
Africa,Burkina Faso,BFA,,,,,,,,,,,0.027,0.027,0.029,0.0319,0.0324,0.0398,0.0508,0.0653,0.0702,0.0779,0.0828,0.0881,0.0813,0.0862,0.0876,0.0787,0.1049,0.1088,0.1469,0.1277,0.1411,0.2009,0.1763,0.1863,0.2037,0.2147,0.2306,0.3772,0.3532,0.3715,0.3966,0.453,0.4883,0.548,0.5048,0.5468,0.5605,0.83,0.9194,0.8658,0.9026,0.9914,1.1981,1.4801,1.2877,1.7188,1.7075,1.9859,2.1597,2.4769,2.6308,2.6805,2.8069,2.7255
Africa,Burundi,BDI,,,,,,,,,,,0.0063,0.0063,0.0068,0.0074,0.0076,0.0093,0.0118,0.0152,0.0164,0.0182,0.0193,0.0235,0.019,0.023,0.0292,0.0271,0.0309,0.0335,0.0667,0.0752,0.0867,0.1239,0.0995,0.1111,0.1152,0.1167,0.1249,0.1251,0.1319,0.1387,0.1334,0.1028,0.097,0.0794,0.0994,0.0833,0.1079,0.1848,0.1092,0.1084,0.1577,0.1894,0.1784,0.2011,0.1729,0.1822,0.2144,0.2542,0.3348,0.4008,0.4257,0.4338,0.4056,0.4063
Africa,Cabo Verde,CPV,,,,,,,,,,,0.0189,0.0189,0.0203,0.0223,0.0227,0.0279,0.0355,0.0457,0.0491,0.0545,0.0579,0.0617,0.0244,0.0259,0.0321,0.0298,0.0103,0.0111,0.019,0.0224,0.0245,0.0305,0.0314,0.0308,0.0361,0.0371,0.044,0.0441,0.0448,0.0471,0.1345,0.1512,0.1692,0.1709,0.1917,0.304,0.3358,0.3913,0.395,0.3815,0.3954,0.4385,0.388,0.3861,0.3867,0.3978,0.4398,0.467,0.4638,0.5221,0.5545,0.565,0.5917,0.5745
Asia,Cambodia,KHM,,,,,,,,,,,0.0659,0.0659,0.0719,0.0685,0.0666,0.0772,0.0699,0.0775,0.0822,0.0887,0.0903,0.0985,0.1116,0.1245,0.1372,0.1494,0.1192,0.1368,0.1469,0.1368,0.2092,0.2304,0.252,0.2512,0.2657,1.1581,1.1598,1.2029,1.3953,1.3624,1.3204,1.5138,1.3241,1.3515,1.3744,1.5031,1.6063,2.0037,2.0698,2.6885,2.9473,3.1221,3.2937,3.375,3.6977,4.0688,4.5094,4.802,5.1174,6.3112,6.6992,6.8498,7.1808,7.3642
Africa,Cameroon,CMR,,,,,,,,,,,0.5647,0.5647,0.6162,0.6408,0.6226,0.7491,0.7009,1.0092,1.0312,1.1089,1.1785,1.1932,1.3078,1.5084,1.5836,1.7402,1.65,1.6662,1.8648,1.8326,1.7549,1.5686,1.57,1.6883,1.7613,1.7086,1.7303,1.8217,1.8761,1.6374,1.8566,1.8592,2.0652,2.099,2.1652,2.1074,1.8697,2.1284,2.1846,2.5141,2.6752,2.8318,3.0142,3.1969,3.4145,3.1654,3.2607,3.186,3.3192,3.4202,3.4239,3.5594,4.0806,4.2671
North America,Canada,CAN,,,,,,,,,,,80.7889,83.8849,89.8124,97.9055,102.321,104.2974,109.139,110.7068,116.3525,127.0725,129.2287,128.3093,111.1972,108.615,111.9579,114.051,114.0188,118.6705,126.2353,128.3053,124.6651,120.9509,125.205,127.1818,133.421,137.0932,140.4361,144.8506,147.4656,151.1608,149.9657,147.7901,159.6457,162.2764,159.7018,163.4558,162.3477,167.6906,167.6767,163.7636,169.4329,169.0559,169.3796,173.1347,171.5977,171.0888,170.1924,174.1661,180.2872,177.4991,148.7041,156.9292,164.2478,166.3535
Africa,Central African Republic,CAF,,,,,,,,,,,0.009,0.009,0.0097,0.0106,0.0108,0.0133,0.0169,0.0218,0.0234,0.026,0.0276,0.0382,0.0379,0.0431,0.0409,0.038,0.052,0.0484,0.0611,0.0596,0.0703,0.0929,0.0769,0.0845,0.0887,0.0934,0.101,0.1011,0.1027,0.108,0.1192,0.1234,0.1268,0.1204,0.1218,0.1219,0.1314,0.1351,0.1038,0.1,0.0998,0.104,0.1091,0.0729,0.0753,0.1118,0.1272,0.1331,0.1365,0.1573,0.1671,0.1702,0.1957,0.2045
Africa,Chad,TCD,,,,,,,,,,,0.018,0.018,0.0193,0.0213,0.0216,0.0265,0.0339,0.0436,0.0468,0.0519,0.0552,0.0558,0.0515,0.0546,0.0263,0.0298,0.0581,0.0529,0.0398,0.0427,0.0983,0.1206,0.1058,0.0496,0.0539,0.0568,0.0585,0.0634,0.0644,0.0677,0.102,0.0982,0.1008,0.1018,0.1105,0.1217,0.1287,0.1469,0.1568,0.1731,0.1861,0.2583,0.4622,0.4897,0.4758,0.4994,0.5182,0.8039,0.8631,1.0103,0.9228,0.8917,1.0252,1.0713
South America,Chile,CHL,,,,,,,,,,,6.0281,6.0281,5.8371,5.495,5.2196,4.5314,4.6152,4.8539,5.3749,5.8048,6.2461,6.6219,6.2565,6.2742,6.2558,6.1813,6.3509,6.7847,7.7374,8.2939,9.0841,9.4833,10.2897,11.4089,12.3338,13.6444,14.8388,15.7303,16.5557,16.7441,16.9872,16.0675,16.5753,16.332,16.919,18.5607,18.2863,19.8109,20.5827,20.7096,21.4369,21.8593,22.4344,24.4921,23.5736,25.2257,26.384,27.3837,28.328,28.735,25.466,27.8142,31.1985,31.9471
Asia,China,CHN,,,,,,,,,,,45.4583,45.4583,50.12,54.4138,58.8471,65.9087,66.906,74.1173,71.9892,74.8971,70.859,70.6364,74.0071,78.5994,83.8886,86.3287,94.056,98.7102,104.7209,108.5201,94.1525,100.6214,111.1024,125.7016,116.3504,127.3714,169.853,146.1269,140.2851,157.3617,248.4803,254.2503,276.4443,313.1443,371.1368,397.312,434.812,468.5767,507.0676,517.0746,568.7798,621.89,686.1263,741.0944,770.35,828.4621,845.3566,877.8151,950.9561,944.3723,901.9615,969.4479,929.0863,1077.7615
