Continent,Country Name,Country Code,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
South America,Chile,CHL,8.38323353293413,8.33333333333333,9.27835051546392,9.20353982300885,7.73333333333333,5.87262200165426,5.09453781512605,4.90161001788909,4.97649986176389,6.95055428470878,9.65388974455843,7.59396042834683,8.07053941908714,8.6653577243559,9.43355530991346,9.00378910166007,7.57552712667376,7.59355804883518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8815458404924,3.38835124321093,2.32364487215646,1.78489960263149,2.20820405302005,,,,,
Asia,China,CHN,,,,,,,,,,,,,,,,,,11.3445726473182,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7936022079296,10.7936022085299,10.7936022082782,10.8113828302765,10.8113828302316,10.8113828302756,10.8113828299006,10.8113828295794,10.8113828300373,10.8113828298269,10.8113828298504,10.8113828297999,10.811382829901,10.8113828300138,
,Cote d'Ivoire,CIV,,,7.29839315212494,5.82257621532546,5.97070738547834,6.77509814918676,6.98128518537303,6.31867552462301,7.02585427589948,6.69202835898323,5.91427899041007,5.44211051136979,7.29129899994652,7.56486484119826,5.55042084118945,6.92220969560316,7.14839109550126,6.28239546073131,6.86364101727949,5.74495221373793,,,,6.31364562118126,6.32411067193676,6.99432892249527,83.8095238095238,,,,,11.2172162452183,10.8175825909175,11.8812396156902,12.0236983971201,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Cameroon,CMR,,,,,,,,3.35941298678336,5.72853145849774,5.59768672595341,,6.58533696553358,7.58164852255054,6.41681965824036,6.39217144982689,4.34199441316011,2.77619516237634,3.17516635649159,3.79873543155787,4.52122364014843,5.41264302523736,5.28026105578028,,,,,5.28899479155684,4.55044761781933,5.49197768704353,6.55193720392704,6.12712117245201,3.30621610346266,4.36454481725337,4.1658771226587,5.65702087286528,5.77418841885634,4.02792208223767,,2.15646901840888,10.158994005704,,,,,,,,,,,,,,,,,,,,
,"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3395665215045,6.03675961205403,5.49309843806756,-8.73774509803921,-14.130825838103,-15.0864485981308,-18.6726643598616,-21.0813810110974,-10.3027028814933,-5.43095579606207,,,,,,,,,,,,,
,"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3395665215045,6.03675961205403,5.49309843806756,-8.73774509803921,-14.130825838103,-15.0864485981308,-18.6726643598616,-21.0813810110974,-10.3027028814933,-5.43095579606207,,,,,,,,,,,,,
South America,Colombia,COL,9.99087591240876,10.4742104742105,10.9948542024014,12.4412296564195,13.1925949983761,12.8350712452913,12.233259749816,11.0360718258382,10.7348492241632,11.2574755644545,12.3775372990971,14.3282374360605,12.7301831689822,11.8286998655097,10.8882579735874,11.8901246147662,11.9019529236584,10.1230342111039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05545105949221,4.01889788394584,3.97851158365243,4.49651191358657,4.71789757286636,4.88057905237991,5.00429172341689,5.0471031987742,5.64280073255285,5.02601895085659,
Africa,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95063127788758,2.45962883390604,2.67871507159822,2.42211695091862,,,,
North America,Costa Rica,CRI,5.02944062806673,6.52561667077539,6.53579066246966,6.19858482425358,6.66123999457333,6.4679547596607,6.42578742231118,6.50913954525189,7.17302940942058,7.40527715867424,8.53145262199977,7.81218212149571,8.71658101866909,7.91687283523008,7.71975494266287,7.77877250571969,7.82335050368313,7.48578367492003,,,,,,,,,,,2.06147014948167,1.76167331976056,2.21878996315181,1.76285315481763,1.2335545175867,0.971770650778738,0.950006660966826,0.942600016999055,0.902632812972686,0.918489405083826,1.17548734398883,0.930689990371623,0.989100948329233,1.0940413962755,1.12697485018362,1.07524387533255,1.10965611005614,1.0867115893655,1.08073088411383,1.46334895094179,1.527266069303,1.5393557824765,1.69316759061257,1.66722610295655,2.12075134903753,1.96346525877197,1.72391252395311,1.802665790371,1.79625050431077,,,
North America,Cuba,CUB,,,,,,,,,,,,,,13.0271174292199,11.5577420057913,12.5571981696586,12.351463490361,12.0715522215811,8.32648088929496,6.87729243081027,7.55502833794649,7.54961973659803,7.81893887362637,8.36803627614288,7.99768110097293,7.32632877167184,8.25575521397128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Cyprus,CYP,3.11373074719345,4.35082391669353,3.82073873978888,3.1067464909301,3.56294569033069,3.6277842855948,3.31944599717069,3.50468324407225,3.45223166492426,2.96335542255449,3.07446338788668,3.6660631587464,3.35215533411745,3.59273705009826,5.0515393374172,3.70663513853052,3.19841435325337,3.57848312022159,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06697205496989,4.14399565311099,4.83899716083558,5.40074055770418,6.60354230839849,8.80370398007299,9.27255066928836,9.77884892371091,9.59551360129923,10.4722626703512,10.1491979965609,10.7701511550556,13.8736253319602,10.3466174601106,
,Czechia,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48883045755324,1.44092087532906,1.29627917763785,1.37121408110239,1.51695515537071,1.51275846015083,1.40324004818496,1.32056942571492,1.31417486123863,1.25809767154446,1.21595140660678,1.192709765061,1.18981730757191,1.08474161501791,1.33692759161946,1.75033594883372,1.50058165469828,
Europe,Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56539100275465,7.23688679281475,7.27236187929784,3.60646782439752,4.00301316039947,3.38670474978029,3.29442796046156,3.31206850184067,3.21095742917033,3.29000499603207,2.9947363393359,3.11707979191508,2.67568787380039,3.14229032903523,3.74778710147713,4.62521638209143,3.64920512932569,
Europe,Denmark,DNK,6.10287707061901,6.28352490421456,6.23928693863558,6.7450495049505,7.40740740740741,8.53080568720379,8.38241957408247,7.51020408163265,7.60994263862333,7.45466756212223,8.02987861811391,8.74762292855202,8.4617393575346,8.83076235188911,8.67747098839536,8.78541010923903,9.20310179838311,9.52465834818776,,,,,,,,,,,,,,,,,,,,,,,,,3.83937663521689,8.77291788801437,4.08480607890335,9.80632130403636,11.3990080953031,13.130842927284,13.9350609202967,15.9436110892363,16.1179372067776,19.1373533188428,20.1078165458113,20.2491518990345,20.6813498992235,20.3081755910924,7.68973189912671,22.6826185692634,20.9000001759158,
North America,Dominican Republic,DOM,4.43666082895505,5.24828197738861,4.312420647082,6.21396936238051,5.42181069958848,6.20281771409338,5.7316696794674,6.47755357999189,6.76670779763563,6.03127392922714,5.40114662874302,4.82339382826509,4.52013663758404,6.48484758187074,6.12219623274627,6.01468837992395,5.83936878690082,5.82522738133321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
